TradeId,EntryTime,ExitTime,CloseReason,FinalNetUSD,RawNetUSD,ActiveLot,Direction,scenario,mode,window
SHD_FVG_MICRO_RETEST_1778715691_256,2026.05.13 23:41:31,2026.05.13 23:44:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.03,BUY,All Safety ON 15M,DynamicLot,May
SHD_FVG_MICRO_RETEST_1778281800_163,2026.05.08 23:10:00,2026.05.08 23:44:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 15M,DynamicLot,May
SHD_FVG_MICRO_RETEST_1777937700_53,2026.05.04 23:35:00,2026.05.04 23:44:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 15M,FixedLot,May
SHD_FVG_MICRO_RETEST_1778715691_256,2026.05.13 23:41:31,2026.05.13 23:44:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 15M,FixedLot,May
SHD_FVG_MICRO_RETEST_1778281800_163,2026.05.08 23:10:00,2026.05.08 23:44:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 15M,FixedLot,May
SHD_FVG_MICRO_RETEST_1776123696_222,2026.04.13 23:41:36,2026.04.13 23:44:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1776381005_309,2026.04.16 23:10:05,2026.04.16 23:44:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,SELL,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1777074000_461,2026.04.24 23:40:00,2026.04.24 23:44:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 15M,FixedLot,April
SHD_FVG_MICRO_RETEST_1775778254_163,2026.04.09 23:44:14,2026.04.09 23:54:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 5M,FixedLot,April
SHD_FVG_MICRO_RETEST_1776381005_309,2026.04.16 23:10:05,2026.04.16 23:54:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,SELL,All Safety ON 5M,FixedLot,April
SHD_FVG_MICRO_RETEST_1776901538_399,2026.04.22 23:45:38,2026.04.22 23:54:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,SELL,All Safety ON 5M,FixedLot,April
SHD_FVG_MICRO_RETEST_1777506614_539,2026.04.29 23:50:14,2026.04.29 23:54:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 5M,FixedLot,April
SHD_FVG_MICRO_RETEST_1778025124_83,2026.05.05 23:52:04,2026.05.05 23:54:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,SELL,All Safety ON 5M,FixedLot,May
SHD_FVG_MICRO_RETEST_1778715691_256,2026.05.13 23:41:31,2026.05.13 23:54:00,SESSION_BOUNDARY_DAILY_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 5M,FixedLot,May
SHD_FVG_MICRO_RETEST_1778281800_163,2026.05.08 23:10:00,2026.05.08 23:54:00,SESSION_BOUNDARY_WEEKEND_FORCE_CLOSE_USER_OVERRIDE,,,0.01,BUY,All Safety ON 5M,FixedLot,May
